ACC,ARI,NMI,F1,PRE,REC,dataset,method,known_cls_ratio,IND_ratio,labeled_ratio,cluster_num_factor,seed,K
91.58,88.64,95.6,0.17,0.16,0.18,clinc,DeepAligned,0.75,1.0,1.0,1.0,42,38
91.58,88.64,95.6,0.17,0.16,0.18,clinc,DeepAligned,0.75,1.0,1.0,1.0,42,38
91.4,88.34,95.42,6.42,5.81,7.54,clinc,DeepAligned,0.75,1.0,1.0,1.0,42,38
91.4,88.34,95.42,6.42,5.81,7.54,clinc,DeepAligned,0.75,1.0,1.0,1.0,42,38
93.86,91.05,96.01,0.0,0.0,0.0,clinc,DeepAligned,0.75,1.0,1.0,1.0,0,38
93.86,91.05,96.01,0.0,0.0,0.0,clinc,DeepAligned,0.75,1.0,1.0,1.0,0,38
91.58,88.18,95.29,5.26,5.26,5.26,clinc,DeepAligned,0.75,1.0,1.0,1.0,1,38
91.58,88.18,95.29,5.26,5.26,5.26,clinc,DeepAligned,0.75,1.0,1.0,1.0,1,38
88.95,85.46,94.9,0.69,0.7,0.7,clinc,DeepAligned,0.75,1.0,1.0,1.0,2,38
88.95,85.46,94.9,0.69,0.7,0.7,clinc,DeepAligned,0.75,1.0,1.0,1.0,2,38
89.82,86.19,94.99,2.54,2.63,2.46,clinc,DeepAligned,0.75,1.0,1.0,1.0,3,38
89.82,86.19,94.99,2.54,2.63,2.46,clinc,DeepAligned,0.75,1.0,1.0,1.0,3,38
86.14,82.71,93.7,6.29,6.83,6.14,clinc,DeepAligned,0.75,1.0,1.0,1.0,4,38
86.14,82.71,93.7,6.29,6.83,6.14,clinc,DeepAligned,0.75,1.0,1.0,1.0,4,38
94.91,90.77,96.21,11.08,10.95,11.23,clinc,DeepAligned,0.75,1.0,1.0,1.0,5,38
94.91,90.77,96.21,11.08,10.95,11.23,clinc,DeepAligned,0.75,1.0,1.0,1.0,5,38
